Tarih,y,reer,rk,x,mh,ystar
2007-01,-12.8691,1.476,0.3554,-25.0924,-3.4145,-0.178378297
2007-02,1.0135,2.4432,2.2824,15.9238,0.395,0.546394945
2007-03,15.1151,-1.1414,1.5487,16.9729,1.7049,0.378310062
2007-04,-5.3579,2.2623,2.632,-6.2617,2.3211,-0.110490358
2007-05,7.8351,1.2392,1.2393,11.2517,2.2684,0.766796371
2007-06,-0.994,1.5051,2.7607,-3.1219,-0.0616,-0.068050935
2007-07,-2.2059,1.0451,3.1161,-1.6576,2.651,0.146294148
2007-08,-1.0121,-1.3614,2.0854,-1.3086,-0.5405,0.793707058
2007-09,3.5203,2.7514,1.0185,2.3125,1.2077,-0.157610268
2007-10,-0.7337,2.1631,2.2923,9.9637,4.4153,0.448970642
2007-11,7.0505,-2.0661,2.9118,13.5395,3.4857,-0.185601144
2007-12,-9.7198,0.8195,-2.409,-13.3616,1.6565,0.316177919
2008-01,-1.5296,-0.9857,0.9605,7.6105,2.6073,0.623161442
2008-02,-0.8663,-0.1834,3.3144,4.694,2.1705,-0.042842339
2008-03,9.1608,-4.8819,5.0789,4.0242,3.8342,-0.691655992
2008-04,-1.7115,-2.6766,2.1335,-1.6357,5.2894,0.297867717
2008-05,3.3141,5.68,1.1821,9.9193,2.9858,-1.220821115
2008-06,-1.6311,0.3577,4.9522,-5.8472,3.8656,-0.431671099
2008-07,-0.2625,-0.1782,0.3326,7.2467,4.2534,-0.442122722
2008-08,-8.3818,4.9188,1.2567,-10.0682,-2.6774,-1.306826004
2008-09,2.9034,-1.7187,3.8284,13.7776,-2.8384,-1.555868893
2008-10,-3.1741,-9.6961,0.3573,-23.0544,-7.0562,-1.038693055
2008-11,-0.4401,-0.5848,-1.4357,-2.9496,-9.1876,-3.393748784
2008-12,-14.4055,-1.0608,-0.6354,-18.8137,-6.2833,-3.775070392
2009-01,-6.4648,-0.078,-1.4095,1.1834,-8.5227,-3.411294759
2009-02,-3.9414,1.1803,-0.2782,7.1966,-1.8012,-1.452508461
2009-03,12.7849,-2.921,0.398,-2.1599,-1.5813,-0.741255321
2009-04,1.5641,5.7001,-0.562,-7.4647,-5.9126,0.119705671
2009-05,5.5546,0.6389,1.2281,-1.0821,0.8197,0.751595486
2009-06,6.8852,-0.7375,2.1079,13.1402,3.7263,0.609715786
2009-07,0.9049,0.9217,-0.2847,5.9664,1.3717,0.841336987
2009-08,-6.004,1.1276,1.3026,-11.7586,1.4175,0.549497606
2009-09,-0.566,-1.3085,2.7194,7.0035,1.3977,1.666702735
2009-10,13.7909,-0.2708,0.1098,18.3945,4.8246,0.521007516
2009-11,-9.0324,-1.3576,2.5638,-11.511,1.0759,0.78466832
